Blog	four	looking	second	here	music	until	example	want	how	series	re	service	project	tech	came	best	country	asked	much	life	things	had	has	right	old	people	sure	continue	support	time	team	sign	along	love	working	such	data	so	years	didn	internet	million	quite	open	future	san	say	take	drive	ways	going	where	up	screen	many	photos	technology	being	around	world	power	favorite	her	site	am	an	as	having	tv	th	case	large	small	past	hours	via	company	states	its	always	found	really	major	number	show	self	also	play	sometimes	set	see	available	last	whole	community	person	using	couple	d	by	anything	into	link	line	us	ago	try	video	let	great	makes	tools	next	process	high	doing	could	system	face	should	hope	move	means	stuff	email	co	ve	less	web	five	become	problem	all	told	thursday	word	work	after	then	them	they	another	do	away	com	easy	night	security	post	months	way	was	update	together	global	cost	change	live	car	can	heard	product	remember	still	not	now	year	space	shows	care	friend	than	online	only	between	comes	these	media	real	read	business	your	aren	start	lot	trying	since	month	very	family	put	takes	almost	help	actually	ask	american	off	mobile	latest	pretty	during	won	probably	both	else	lives	look	while	used	march	game	some	step	within	doesn	e	go	does	facebook	click	started	control	links	including	special	times	wikileaks	need	able	based	course	she	key	single	i	well	page	twitter	home	he	stay	friends	amp	updates	companies	likely	even	ever	never	call	tell	give	president	before	personal	better	weeks	went	side	content	isn	matter	seen	seem	don	m	stop	bad	decided	said	against	three	seven	if	make	left	just	human	yes	yet	deal	popular	down	digital	daily	did	run	making	may	man	maybe	talk	nbsp	group	interesting	living	thing	think	first	long	little	anyone	were	enough	get	morning	reading	across	mark	those	different	pay	same	running	money	again	important	u	public	search	two	share	needs	through	good	everyone	house	hard	idea	done	least	part	believe	most	find	please	understand	itself	spend	big	bit	google	often	back	giving	others	later	themselves	ll	day	announced	text	taking	value	helped	thought	add	like	works	buy	our	under	every	would	phone	must	me	my	keep	end	over	writing	each	got	free	wanted	days	already	top	too	took	talking	though	watch	full	news	conference	been	quickly	several	social	everything	head	donald	no	when	focus	cool	says	goes	water	today	thousands	trump	information	platform	happened	feature	name	turn	place	coming	given	white	any	ideas	state	review	outside	come	myself	someone	week	without	seems	blog	or	there	follow	woman	far	list	design	version	rather	short	might	health	feel	story	store	nothing	his	him	wrote	are	recently	question	fast	called	users	once	issues	app	use	few	women	something	united	six	instead	looks	related	out	york	their	which	who	why	view	stories	job	will	gets	point	book	know	because	getting	own	apps	made	whether	below	other
ShoeMoney	0	0	0	4	0	1	0	2	11	0	3	0	0	0	1	2	0	0	2	1	2	2	1	0	1	3	0	0	0	9	0	0	0	0	1	0	0	6	1	0	5	0	1	0	0	0	1	0	0	5	2	0	4	0	2	0	0	1	1	1	0	0	0	2	1	8	3	1	0	0	0	0	0	1	0	0	2	0	2	0	1	3	0	0	2	0	3	0	0	0	2	0	2	0	0	1	0	0	0	4	0	2	0	0	1	0	0	0	1	2	1	0	0	1	0	1	5	0	0	3	1	0	0	2	6	0	2	0	1	0	1	0	4	0	0	0	3	1	0	0	4	1	4	1	0	2	0	2	2	1	0	3	0	0	0	0	0	0	0	1	1	5	0	0	5	3	0	1	0	0	0	1	5	1	0	0	1	2	3	0	5	16	0	2	1	0	1	1	2	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	5	2	0	0	1	2	0	0	0	0	0	2	0	2	1	0	0	0	1	0	2	0	0	1	0	0	0	27	0	3	0	1	0	0	0	0	0	0	0	1	2	2	1	1	3	2	2	3	0	0	1	0	2	1	2	1	1	1	0	1	0	1	0	0	0	0	3	5	1	0	0	0	2	0	0	0	0	0	1	0	3	1	0	0	1	0	0	0	1	0	1	0	2	0	0	2	0	0	0	1	1	0	2	0	0	0	1	5	2	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	1	0	3	0	0	0	1	0	1	0	3	0	0	1	0	1	0	1	2	3	8	1	0	1	0	1	2	0	1	2	0	1	1	0	1	0	0	2	1	1	1	2	0	2	0	0	1	3	2	1	0	0	0	2	1	0	2	0	2	0	0	0	2	0	0	0	1	0	0	0	0	2	0	1	1	2	0	1	4	5	5	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	10	2	0	1	0	1	1	0	0	2	2	0	2	0	0	1	0	0	0	0	1	3	3	2	0	0	2	2	0	0	2	1	1	1	3	0	3	2	0	2
Slashdot	0	0	1	3	0	1	1	3	3	0	3	2	5	3	0	0	1	2	5	0	2	2	7	3	0	5	1	0	2	4	1	0	2	0	0	3	10	2	1	1	2	0	1	4	1	3	0	2	0	2	0	2	9	2	4	0	3	2	3	5	1	0	0	0	0	21	17	1	6	0	3	1	7	0	0	3	13	0	12	0	1	0	0	5	1	0	7	1	0	3	5	2	4	0	0	0	1	0	1	11	1	3	2	2	1	0	0	6	0	0	2	1	3	0	5	1	5	4	0	4	1	1	1	0	1	0	0	3	4	0	0	1	7	1	3	0	1	4	3	1	9	1	4	1	0	0	0	4	1	4	2	1	4	0	0	2	3	0	0	10	0	4	0	1	7	5	2	2	3	0	1	7	2	3	1	1	4	3	0	15	4	7	0	0	0	0	2	3	0	0	1	0	0	1	2	1	0	1	3	0	0	3	1	1	0	0	1	0	5	0	0	3	1	2	1	0	1	4	0	0	0	1	0	0	1	0	1	0	1	1	5	0	0	0	3	0	1	2	0	0	1	2	0	0	1	6	3	5	0	0	0	0	0	1	2	4	3	0	1	0	5	0	0	0	2	1	0	2	0	0	10	2	1	3	8	2	0	0	0	0	0	0	0	7	1	1	1	3	0	5	0	0	1	0	1	1	0	2	0	2	2	0	1	1	1	3	1	0	3	0	3	1	1	2	2	0	0	1	1	1	2	1	0	0	7	0	0	0	2	3	3	0	0	0	3	0	0	0	0	0	0	0	14	0	4	1	1	0	0	1	0	1	0	1	2	0	0	1	6	1	1	0	0	0	4	1	0	0	0	1	2	2	0	4	0	1	0	0	0	2	2	0	0	3	3	0	0	1	6	0	3	0	0	0	0	1	7	0	0	8	2	0	4	0	0	2	2	0	3	0	0	0	0	0	2	0	0	2	2	0	0	0	1	0	3	0	2	13	3	1	0	2	1	0	0	0	0	3	0	1	15	4	0	0	0	0	13	0	0	0	4	0	3	2	2	8	0	0	0	0	3	0	0	0	4	0	13	13	4	0	1	0	1	19	0	0	0	1	1	1	1	2	1	0	2	8
Matt Cutts: Gadgets, Google, and SEO	0	0	0	1	0	0	2	0	0	0	3	6	2	0	0	0	0	0	1	0	0	0	3	0	0	4	0	0	1	1	1	0	0	0	1	1	0	1	2	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	2	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	1	0	3	0	0	0	0	2	1	0	0	0	0	0	4	1	1	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	4	0	3	0	0	1	0	0	0	0	1	1	0	2	2	1	1	1	0	1	0	0	0	1	1	5	1	0	0	0	0	0	0	2	0	0	0	1	1	2	3	0	0	0	1	0	0	0	0	0	1	1	0	1	0	5	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	21	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	1	2	1	3	0	0	0	0	0	0	4	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	3	1	1	1	0	3	0	0	3	0	0	0	0	1	1	0	0	1	6	1	1	2	0	1	0	0	1	0	0	0	1	2	1	0	0	2	1	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	3	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	3	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
Gothamist	1	3	0	6	1	0	1	2	0	1	0	3	0	0	2	2	2	0	2	2	0	2	7	0	5	2	1	0	1	2	0	5	0	0	0	1	0	5	4	1	1	2	0	1	0	0	3	0	0	0	1	3	6	0	1	3	0	0	1	4	0	0	4	0	0	9	9	1	2	1	0	0	3	1	2	0	0	0	8	0	2	0	0	0	1	0	5	0	0	0	3	0	9	2	1	0	1	1	2	21	0	4	0	0	4	2	0	1	0	2	0	0	2	1	1	1	0	0	2	2	0	0	0	0	0	1	1	0	1	1	0	1	5	1	3	0	0	8	1	2	5	2	2	0	0	0	5	1	2	1	0	16	2	0	3	0	2	0	5	6	0	0	0	1	6	7	6	0	4	0	1	2	0	2	2	0	0	0	1	0	0	4	0	3	1	1	0	1	7	2	1	1	0	0	0	0	1	6	0	2	0	2	0	0	2	0	1	0	1	0	1	0	4	0	0	0	1	0	0	4	0	0	0	4	1	0	1	0	1	0	0	1	6	0	0	1	1	0	4	1	2	2	0	0	0	0	0	1	0	0	2	0	0	1	3	0	1	1	2	0	0	2	1	1	0	6	1	0	2	0	1	0	3	0	4	0	0	4	1	0	0	1	0	1	0	1	0	0	0	1	11	1	0	12	1	0	0	0	0	5	1	1	0	4	0	5	8	0	2	0	3	1	5	2	3	0	2	1	1	1	0	5	0	1	2	1	0	0	0	0	0	1	1	0	4	0	0	0	0	0	1	1	0	1	2	1	0	0	0	0	13	3	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	4	3	1	0	1	1	0	1	0	5	0	1	0	0	4	4	4	0	3	0	2	0	0	6	2	4	4	0	0	1	0	0	10	4	9	0	1	1	1	0	0	2	0	1	1	1	0	2	0	2	1	0	1	4	5	1	0	4	4	4	6	1	1	0	0	0	0	1	0	0	1	0	0	8	1	0	10	0	0	2	2	0	0	0	1	0	1	11	6	0	1	1	0	0	10	6	11	4	8	2	0	4	0	7	2	1	0	2	6	0	2	0	0	1	2	1
BuzzMachine	0	0	0	5	0	0	0	4	3	0	0	0	0	0	0	0	0	2	1	0	0	1	0	2	3	1	0	0	0	0	0	0	0	0	0	2	0	3	4	3	0	0	0	0	2	0	3	0	0	1	1	0	1	0	2	0	0	0	0	1	0	0	2	0	3	7	8	0	1	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	2	3	3	4	0	0	0	0	0	16	0	0	5	0	0	0	0	6	0	0	4	0	0	1	2	5	2	0	0	0	1	2	0	1	1	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	25	1	0	1	0	5	0	2	0	0	0	0	0	0	0	3	0	0	1	1	0	2	0	0	0	0	1	0	0	0	1	2	2	0	0	5	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	16	0	0	0	4	0	0	1	0	0	3	0	1	0	0	1	0	2	0	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	2	1	0	1	0	2	0	0	0	1	0	1	0	1	3	0	2	1	0	3	0	0	0	0	0	1	0	0	3	0	0	1	0	2	4	11	0	0	1	0	0	1	0	1	1	1	0	1	0	1	0	0	0	8	0	3	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	11	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	3	1	2	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	2	0	0	0	0	0	0	0
Techdirt.	2	3	3	17	1	3	3	8	18	2	9	5	0	1	3	5	5	3	23	0	9	38	71	7	1	25	3	1	5	34	5	6	3	0	2	19	13	36	19	3	13	7	9	10	1	0	6	10	1	3	15	8	24	3	30	0	3	20	5	3	3	0	0	3	3	47	90	6	21	0	28	5	4	3	1	5	17	7	55	7	6	12	2	8	7	3	20	8	0	2	9	4	13	5	4	8	10	3	4	96	5	18	9	3	8	3	1	2	2	9	5	3	1	9	1	6	17	2	0	17	1	4	4	7	26	2	22	8	5	5	2	10	43	2	0	4	6	21	8	18	63	9	21	4	2	3	1	14	2	2	15	65	3	3	0	3	5	0	8	25	2	1	1	17	68	28	7	0	2	2	1	38	6	20	5	4	28	11	2	2	16	18	6	4	2	3	3	5	16	5	8	3	5	3	6	0	3	9	3	3	8	8	6	6	6	4	2	0	21	11	3	2	34	1	4	20	0	16	9	0	0	1	4	3	9	0	3	5	11	3	3	9	0	5	2	26	9	0	4	3	36	1	0	0	0	19	11	18	2	10	1	0	6	10	16	2	7	4	2	2	9	13	8	3	7	11	5	0	1	4	23	18	2	0	41	7	4	35	0	2	6	20	4	14	6	4	6	1	9	18	0	0	0	1	2	2	2	3	7	15	6	3	4	32	2	17	2	1	2	3	25	2	11	9	0	9	9	8	2	12	7	9	1	2	13	9	4	3	2	11	5	11	7	6	19	3	0	2	9	0	5	1	14	6	13	3	5	1	5	4	3	1	0	4	2	2	1	1	24	6	1	8	8	9	41	5	2	6	4	9	5	29	1	3	5	5	2	3	8	4	9	6	3	5	5	4	17	1	37	3	3	1	4	1	1	28	21	4	0	5	1	0	3	2	26	8	2	0	2	8	3	7	2	10	11	27	1	5	4	0	7	0	7	5	10	10	0	66	37	5	0	8	3	1	0	14	3	9	1	4	27	3	6	34	11	2	67	3	9	1	8	7	4	3	4	33	9	0	9	2	1	3	4	3	31	3	46	44	26	10	2	6	7	28	2	11	0	12	16	3	13	2	20	18	0	31
PerezHilton	0	1	0	1	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	1	0	1	2	0	2	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	2	0	1	0	0	1	1	10	0	0	0	3	1	3	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	6	1	1	1	0	0	0	0	2	1	0	0	0	0	0	9	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	1	0	0	0	0	0	0	3	0	3	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	5	0	1	0	1	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	5	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	1	0	0	1	0	0	0	1	2	1	0	1	1	1	0	0	1	1	3	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	5	1	1	2	1	1	0	0	0	0	1	1	0	0	0	0	3	0	0	1	0	0	0
Joho the Blog	0	0	0	1	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	3	0	1	3	0	0	4	0	0	0	0	0	0	0	0	0	2	0	3	1	0	1	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	1	1	1	0	1	0	2	0	6	12	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	5	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	1	2	0	1	3	1	0	2	0	1	0	0	0	0	3	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	1	0	0	1	1	0	2	1	0	0	0	3	4	0	1	0	0	0	1	10	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	4	0	2	0	0	0	1	0	0	0	12	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	5	4	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ongoing by Tim Bray	1	1	0	4	0	0	0	2	1	0	15	0	0	3	2	3	0	0	0	1	1	2	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	8	2	1	0	0	0	0	1	0	3	2	0	0	0	1	6	0	0	0	0	0	0	1	0	0	1	0	0	3	4	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	4	0	4	0	0	0	0	0	2	6	0	0	0	2	1	1	0	0	1	1	2	0	0	0	0	0	1	0	3	1	0	0	0	1	0	1	7	2	0	0	0	0	4	0	0	2	4	1	1	2	1	0	7	0	2	1	3	0	1	2	1	9	0	0	0	0	0	0	0	5	0	0	0	3	8	3	3	1	0	0	0	1	0	0	0	0	0	0	1	5	0	2	0	1	0	0	1	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	1	1	0	3	2	0	1	0	5	4	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	43	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	1	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	2	2	1	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	4	1	0	0	0	0	0	1	1	2	2	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	6	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	6	3	0	0	2	0	0	4	0	0	1	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	3	0	2	0	0	1	0	0	1	0	1	0	5	2	0	0	1	1	0	0	0	1	3	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	4	0	2	5	1	0	1	0	1	1	0	1	3	1	0	0	0	0	0	0	0	0
The Viral Garden	5	10	3	26	6	0	4	34	59	9	4	5	4	0	1	8	0	1	8	2	6	36	14	7	1	73	11	1	2	25	5	1	4	4	1	8	0	70	6	14	0	0	1	2	1	3	7	7	1	6	11	15	24	1	23	0	0	18	7	4	5	2	5	11	26	44	85	3	1	9	8	3	5	1	4	9	13	0	12	6	12	9	0	5	5	4	10	2	8	0	24	0	14	1	10	5	31	6	6	27	1	10	20	2	16	5	4	0	10	13	3	7	10	1	1	14	8	0	0	17	2	2	7	3	3	2	20	5	1	0	11	5	34	3	0	1	17	8	22	50	90	8	39	3	22	2	3	0	41	5	28	90	2	4	0	2	3	3	0	45	1	2	3	14	23	22	18	6	2	1	2	9	8	16	2	2	26	122	2	9	13	79	11	7	14	7	3	1	25	0	4	1	3	11	10	3	0	6	0	1	3	8	11	11	6	8	0	1	8	1	2	1	20	0	2	3	0	15	5	10	3	14	0	8	1	1	1	0	8	2	0	3	1	5	3	333	14	8	71	1	17	3	11	3	3	29	7	18	3	10	1	11	10	0	9	6	10	5	7	1	15	7	2	4	2	14	16	2	3	6	13	0	3	4	69	20	9	21	1	1	1	1	7	2	0	0	11	0	4	12	1	4	2	0	5	4	0	13	30	26	8	3	0	33	5	24	0	8	0	2	10	4	3	16	0	3	3	5	0	0	3	8	8	6	4	16	9	0	1	15	3	6	7	1	24	9	3	13	7	2	13	8	0	9	19	4	11	4	9	17	21	0	0	4	11	2	11	10	26	1	2	6	1	13	30	0	3	56	68	3	5	14	5	3	9	6	13	8	2	4	6	8	4	5	0	3	1	6	10	1	10	134	0	1	0	19	40	2	5	0	3	0	4	0	0	6	1	4	0	10	2	3	12	2	0	8	6	1	0	1	7	3	14	7	2	3	46	42	41	17	0	1	12	0	0	1	1	7	0	2	2	1	2	8	3	6	118	6	0	0	4	10	3	2	0	20	22	0	10	0	0	5	1	0	32	2	72	21	15	24	5	3	1	50	1	6	0	18	40	7	25	0	7	1	1	17
SpikedHumor - Today's Videos and Pictures	0	0	6	102	2	1	0	1	5	0	2	0	2	0	0	6	0	0	0	2	1	5	8	0	2	3	0	0	1	4	1	0	0	1	0	1	0	2	2	0	0	1	1	0	2	0	1	1	0	0	0	0	13	0	2	2	0	1	4	1	0	0	0	1	2	11	1	1	2	1	0	0	0	0	0	0	0	0	7	0	2	1	2	0	5	0	3	3	0	4	4	0	4	1	0	1	4	1	1	108	0	2	0	0	2	2	0	15	2	1	1	0	0	0	0	0	1	1	4	1	1	1	1	0	0	0	2	0	0	0	0	3	14	0	1	1	2	3	2	3	0	3	2	1	6	0	1	2	3	0	2	4	0	1	0	0	1	2	4	5	1	0	0	2	8	0	0	3	0	0	0	1	0	0	2	0	1	0	4	0	0	6	0	0	0	0	1	0	0	2	3	4	0	0	1	0	3	3	0	0	0	0	0	2	0	1	0	5	3	0	0	1	9	0	0	1	0	2	2	0	0	1	0	0	0	3	1	6	1	1	0	0	3	1	1	19	0	1	0	0	7	1	0	0	0	0	0	5	3	1	1	1	0	0	2	1	0	0	2	2	0	0	0	0	0	3	1	0	0	0	3	0	0	0	1	2	2	12	2	0	0	3	0	3	0	0	2	0	3	1	4	2	2	0	1	2	0	0	2	2	2	1	0	0	0	4	1	0	1	0	2	0	0	0	1	1	1	0	3	1	1	0	1	0	0	2	2	2	0	0	1	0	7	0	2	0	2	1	0	0	1	1	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	5	0	0	1	1	3	2	2	2	5	8	2	3	0	0	0	1	1	0	5	0	2	2	0	0	0	102	2	2	0	3	0	1	0	1	2	0	1	4	0	5	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	2	2	0	0	0	0	2	1	0	0	0	0	3	1	0	1	1	1	0	0	0	0	2	0	3	0	1	0	9	1	0	6	0	0	0	1	0	2	0	3	0	1	1	2	0	0	0	1	0	1	0	3	0	3	4	1	1	0	5	2	0	0	4	3	0	0	1	0	0	0	2
The Official Google Blog	0	7	3	8	8	1	9	9	31	3	70	4	19	8	1	8	8	0	4	2	3	2	22	13	3	18	2	3	21	35	48	10	2	10	15	7	43	28	6	0	4	9	1	13	6	4	3	14	44	10	2	13	31	6	20	2	15	5	11	17	3	7	7	2	1	38	68	2	0	11	1	6	5	8	0	2	12	4	7	10	3	3	1	6	5	1	41	11	0	7	12	24	9	3	6	3	19	0	4	35	1	21	2	1	21	0	4	14	3	2	4	18	23	3	5	9	3	5	4	9	6	5	8	0	4	5	22	1	8	3	3	1	42	3	0	4	40	6	3	27	61	4	21	4	2	11	1	18	1	3	14	16	0	15	8	6	12	3	0	93	3	12	0	1	21	34	9	6	0	0	4	24	4	13	4	2	32	9	3	5	36	81	2	13	1	0	4	12	2	2	4	2	2	34	1	4	2	2	10	2	0	3	0	1	11	0	2	7	9	9	1	1	11	3	6	2	2	3	3	1	4	8	8	0	19	2	3	0	24	5	12	5	11	7	3	50	13	2	0	6	1	2	2	3	3	9	2	18	2	2	3	3	11	2	6	3	7	4	0	0	23	1	3	1	0	7	6	0	1	0	2	2	6	0	15	28	3	18	0	0	2	1	1	6	24	2	1	4	9	5	0	3	3	0	4	4	1	1	11	20	5	0	3	6	0	28	0	8	20	2	8	8	17	4	6	1	2	6	4	10	10	11	15	8	25	5	3	0	8	1	4	0	11	2	17	7	0	2	0	2	3	2	146	10	7	1	1	2	2	20	9	10	3	2	4	3	4	12	33	4	1	77	0	8	5	7	5	9	26	9	1	25	1	15	3	7	1	4	11	3	3	3	2	1	1	8	15	1	15	6	7	4	2	2	0	13	21	7	0	5	2	0	47	5	0	11	19	0	3	1	3	10	5	1	1	9	4	1	1	4	3	0	4	8	7	0	0	62	12	2	6	0	1	0	2	2	0	5	0	4	5	6	2	1	1	0	72	5	0	4	2	14	2	2	20	27	8	48	1	3	5	1	0	1	16	1	66	28	24	13	5	4	7	56	2	5	0	8	9	2	6	30	8	6	0	19
Neil Gaiman's Journal	10	3	3	39	3	6	1	11	22	7	12	0	1	0	7	5	1	10	28	7	52	45	21	13	18	43	9	1	4	40	2	3	3	17	6	8	0	60	20	11	5	1	2	1	0	12	2	13	2	1	30	19	37	4	16	4	1	7	5	18	3	0	11	0	19	46	62	7	8	19	4	2	6	1	10	6	1	0	6	6	8	24	1	3	7	1	9	3	3	8	18	6	27	6	1	6	4	12	26	75	9	19	11	3	30	27	3	8	7	0	3	0	12	2	4	28	17	0	0	12	13	1	7	5	4	10	38	5	1	2	2	0	56	4	2	6	20	11	24	39	40	8	35	12	28	2	12	0	6	14	14	120	0	4	0	1	5	3	0	41	2	0	4	17	61	32	53	2	4	2	7	15	7	19	6	7	12	3	3	18	0	20	1	3	13	5	5	5	20	6	15	0	9	8	10	4	26	12	0	2	7	4	5	6	5	4	2	8	11	3	1	0	31	3	1	2	12	22	5	6	2	8	1	3	2	3	8	0	13	2	2	0	10	0	0	475	13	7	5	3	60	2	7	2	0	0	5	26	10	11	4	7	9	0	20	2	6	5	23	4	1	8	3	4	4	11	78	1	7	2	19	1	10	3	50	25	9	20	0	7	6	1	1	4	0	0	21	2	6	15	9	0	4	321	0	3	4	19	9	27	12	12	6	26	3	35	4	14	2	2	6	7	8	6	5	15	3	1	0	10	0	24	5	0	10	27	8	5	6	7	12	0	5	3	7	14	1	2	2	1	7	20	0	3	25	3	2	7	0	22	16	3	3	3	0	3	11	0	45	0	4	10	2	3	32	2	4	67	88	6	7	23	28	10	21	5	9	22	2	1	20	10	12	8	9	1	3	0	34	0	4	3	6	8	0	14	35	0	2	2	10	3	7	4	0	1	1	1	0	2	3	4	13	1	4	13	3	1	11	1	8	6	7	8	3	6	13	70	54	0	0	2	3	4	3	2	7	3	0	5	9	3	2	43	33	13	55	1	0	2	4	0	4	0	1	2	15	0	21	1	3	7	6	0	66	12	13	44	46	4	16	19	1	56	4	2	76	6	28	11	8	0	17	2	2	22
